article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce,money_rub_day,money_dol_day,sec_rub,sec_dol,area,diagonal,diag_in,pixels,diagonal_pixels,ppi,Pixel_Density,Plotn_Town,tchel_Town,km2_Town,scr_dol,Life_Time_Months,payback_Months,profit_Months,profit_Total
Belgorod001,/belgorodskaya-oblast,Rossija,Belgorodskaja oblast',Belgorod,/belgorodskaya-oblast/belgorod/belgorodskiy-87-tts-tsentralnyy,3,4,720,576,"Belgorodskij; 87 (TTs ""Tsentral'nyj"")",26035,10,192,30,53477215,Svetodiodnyj ekran,867.83,13.45,0.452,0.007,12,5,196.85,414720,922.05,4.68,34560,2219.34,356426,160.6,12,694.44,0.03,694.41,280184.33
Vladivostok002,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/svetlanskaya-106-tts-avangard,6,4,384,256,"Svetlanskaja; 106 (TTs ""Avangard"")",9901,10,225,7,53477215,Svetodiodnyj ekran,1414.43,21.92,0.629,0.01,24,7.21,283.9,98304,461.51,1.63,4096,1787.86,592069,331.16,90879,694.44,138.2,556.25,274908.67
Vladimir001,/vladimirskaya-oblast,Rossija,Vladimirskaja oblast',Vladimir,/vladimirskaya-oblast/vladimir/ploshchad-lenina,5.6,4.2,256,192,Ploschad' Lenina,8044,10,228,7,53477215,Svetodiodnyj ekran,1149.14,17.81,0.504,0.008,23.52,7,275.59,49152,320,1.16,2089.8,2541.75,348256,137.014,152880,694.44,286.13,408.31,65281.67
Volgograd001,/volgogradskaya-oblast,Rossija,Volgogradskaja oblast',Volgograd,/volgogradskaya-oblast/volgograd/lenina-54b-trk-yevropasitimoll,6,3,576,288,"Lenina; 54B (TRK ""EvropaSitiMoll"")",9540,10,84,14,53477215,Svetodiodnyj ekran,681.43,10.56,0.811,0.013,18,6.71,264.1,165888,643.99,2.44,9216,1188.39,1021244,859.353,68159.25,694.44,215.15,479.3,83681.5
Voronezh004,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/ploshchad-lenina-12-revolyutsii,9,12,720,576,Ploschad' Lenina; 12 - Revoljutsii,16644,10,204,7,53477215,Svetodiodnyj ekran,2377.71,36.85,1.166,0.018,108,15,590.55,414720,922.05,1.56,3840,1491.48,889680,596.51,408955.5,694.44,369.93,324.52,-50202.67
EKaterinburg016,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/bazovyy-pereulok-47,8.2,5.12,512,320,Bazovyj Pereulok; 47,19642,10,96,7,53477215,Svetodiodnyj ekran,2806,43.49,2.923,0.045,41.98,9.67,380.6,163840,603.77,1.59,3902.81,2943.88,1377738,468,158962.52,694.44,121.84,572.61,588116.63
Ivanovo001,/ivanovskaya-oblast,Rossija,Ivanovskaja oblast',Ivanovo,/ivanovskaya-oblast/ivanovo/lezhnevskaya-55-trk-topol,8,6,1024,768,"Lezhnevskaja; 55 (TRK ""Topol'"")",26775,10,288,30,53477215,Svetodiodnyj ekran,892.5,13.83,0.31,0.005,48,10,393.7,786432,1280,3.25,16384,3916.53,409277,104.5,48,694.44,0.12,694.33,288029
Kazan'014,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/yamasheva-61-sb-11-storona-b,12,4,1026,342,Jamasheva; 61 (SB-11) (storona B),17500,5,720,7,53477615,Tsifrovoj supersajt,2500,38.75,0.694,0.011,48,12.65,498,350892,1081.5,2.17,7310.25,1981.51,1216965,614.16,181758,694.44,156.35,538.09,443775.67
Kaliningrad001,/kaliningradskaya-oblast,Rossija,Kaliningradskaja oblast',Kaliningrad,/kaliningradskaya-oblast/kaliningrad/shevchenko-leninskiy-storona-a,12,9,320,240,Shevchenko - Leninskij (storona A),19257,10,120,10,53477215,Svetodiodnyj ekran,1925.7,29.85,1.605,0.025,108,15,590.55,76800,400,0.68,711.11,1934.68,431491,223.03,702000,694.44,783.92,-89.48,-782125
Kirov001,/kirovskaya-oblast,Rossija,Kirovskaja oblast',Kirov,/kirovskaya-oblast/kirov/komsomolskaya-40a,3,4,384,288,Komsomol'skaja 40A,17895,10,320,30,53477215,Svetodiodnyj ekran,596.5,9.25,0.186,0.003,12,5,196.85,110592,480,2.44,9216,2790.71,473668,169.73,45439.5,694.44,163.75,530.7,101829.33
Moskva336,/moskovskaya-oblast/stupino,Rossija,Moskovskaja oblast',Moskva,/moskva/pristantsionnaya-6-storona-b,2.88,4.8,480,288,Pristantsionnaja; 6 (storona B),10815,10,288,7,53477215,Svetodiodnyj ekran,1545,23.95,0.536,0.008,13.82,5.6,220.38,138240,559.77,2.54,10002.89,4512.06,11514330,2551.9,13.82,694.44,0.02,694.43,498930.69
