subiekt,plotn,tchel,km2,fo,nn
Abakan,,,112.38,,115
Al'met'evsk,,,114.98,,112
Angarsk,,,294,,48
Arhangel'sk,,,294.42,,47
Astrahan',,,208.69,,64
Barnaul,,,322.01,,38
Belgorod,,,160.6,,86
Belovo,,,219.34,,62
Bijsk,,,291.67,,49
Birobidzhan,,,169.38,,77
Blagoveschensk,,,320.97,,39
Bratsk,,,428,,18
Brjansk,,,186.43,,70
Vladivostok,,,331.16,,34
Vladikavkaz,,,290.61,,50
Vladimir,,,137.014,,101
Volgograd,,,859.353,,3
Volgodonsk,,,168.82,,78
Volzhskij,,,229.12,,59
Vologda,,,115.73,,111
Voronezh,,,596.51,,10
Votkinsk,,,112.18,,116
Vyborg,,,160.847,,84
Groznyj,,,324.16,,37
Dzerzhinsk,,,421.53,,20
Dimitrovgrad,,,103.97,,127
Domodedovo,,,159.27,,88
Donetsk,,,110.34,,118
Ekaterinburg,,,468,,17
Zheleznogorsk,,,112.03,,117
Zlatoust,,,190.4,,68
Ivanovo,,,104.5,,126
Izhevsk,,,315.6,,40
Irkutsk,,,277.35,,51
Ishimbaj,,,103.47,,129
Joshkar-Ola,,,100.39,,132
Kazan',,,614.16,,9
Kaliningrad,,,223.03,,61
Kaluga,,,168.8,,79
Kamensk-Ural'skij,,,142,,98
Kamensk-Shahtinskij,,,159.99,,87
Kamyshin,,,117.97,,108
Kemerovo,,,294.8,,46
Kerch',,,108,,123
Kirov,,,169.73,,75
Komsomol'sk-na-Amure,,,325.10,,36
Kopejsk,,,236.71,,58
Kostroma,,,144.5,,97
Krasnoarmejsk,,,160.7,,85
Krasnodar,,,339.31,,31
Krasnojarsk,,,353.9,,29
Kumertau,,,169.6,,76
Kurgan,,,393.03,,23
Kursk,,,188.75,,69
Lesosibirsk,,,277.00,,52
Lipetsk,,,330.15,,35
Magadan,,,295,,45
Magnitogorsk,,,392.35,,24
Mahachkala,,,468.13,,16
Mezhdurechensk,,,332.56,,33
Moskva,,,2551.9,,1
Murmansk,,,154.6,,90
Myski,,,108.7,,121
Naberezhnye Chelny,,,161,,83
Nahodka,,,127,,103
Nevinnomyssk,,,100.397,,131
Neftekamsk,,,147.25,,95
Neftejugansk,,,153.79,,92
Nizhnevartovsk,,,271.319,,54
Nizhnekamsk,,,116,,110
Nizhnij Novgorod,,,410.68,,21
Nizhnij Tagil,,,298.47,,43
Novokuznetsk,,,424.27,,19
Novosibirsk,,,506.67,,14
Novoul'janovsk,,,253.67,,56
Novocherkassk,,,127.94,,102
Novoshahtinsk,,,138.09,,100
Omsk,,,566.9,,11
Orenburg,,,259,,55
Orsk,,,621.33,,8
Orel,,,121,,105
Penza,,,305.1,,42
Perm',,,799.68,,4
Petrozavodsk,,,113,,114
Petropavlovsk-Kamchatskij,,,362.14,,27
Prokop'evsk,,,216.72,,63
Pjatigorsk,,,103.73,,128
Rostov-na-Donu,,,348.5,,30
Rybinsk,,,101.42,,130
Rjazan',,,224.163,,60
Salavat,,,106.23,,125
Samara,,,541.382,,12
Sankt-Peterburg,,,1439.00,,2
Saratov,,,393.975,,22
Sevastopol',,,183,,71
Severodvinsk,,,120.51,,107
Sibaj,,,154.31,,91
Simferopol',,,107.41,,124
Smolensk,,,164.7,,81
Solikamsk,,,166.55,,80
Sochi,,,176.77,,72
Stavropol',,,276.689,,53
Staryj Oskol,,,200.8,,66
Sterlitamak,,,108.52,,122
Surgut,,,353.976,,28
Syzran',,,117,,109
Syktyvkar,,,152,,94
Tver',,,152.22,,93
Tobol'sk,,,239.309,,57
Tol'jatti,,,314.79,,41
Tomsk,,,297.2,,44
Troitsk,,,139.15,,99
Tula,,,145.8,,96
Tjumen',,,698,,6
Ulan-Ude,,,377.12,,26
Ul'janovsk,,,625.5,,7
Ussurijsk,,,172.88,,74
Ufa,,,700,,5
Habarovsk,,,388.735,,25
Hanty-Mansijsk,,,337.76,,32
Himki,,,110.2,,119
Chapaevsk,,,200.5,,67
Cheboksary,,,110,,120
Cheljabinsk,,,501.57,,15
Cherepovets,,,120.94,,106
Chita,,,534,,13
Shadrinsk,,,173.66,,73
Shahty,,,159.08,,89
Engel's,,,113.772,,113
Juzhno-Sahalinsk,,,164.66,,82
Jakutsk,,,122,,104
Jaroslavl',,,205.8,,65
